vtkOriginalIndices,Concentration,ConcentrationLiquide,ConcentrationSolide,ConductiviteThermiqueP0,DensityFluideP0,DensityP0,DensityP1,EnthalpieVol,ErrReg,FractionLiq_c,FractionSolide_c,GradrholBis_P0:0,GradrholBis_P0:1,GradrholBis_P0:2,MassBalanceRHS_P0,PartitionE,Points:0,Points:1,Points:2,TemperatureC,ViscosityP0,Vitesse:0,Vitesse:1,Vitesse:2,__vtkIsSelected__,arc_length,d_interface_regular,divV_element,h_meshsize,h_quality,vtkValidPointMask
72,7.01608,1.78199,7.01608,70,2600,2800,2800,1.12827e+009,100,3.22838e-013,1,859676,498498,0,0,0,0.0005,0.01008,0,433.949,0.001,-1.46902e-014,-1.40481e-012,0,0,0.01008,0.0827584,1.02637e-010,0.0001468,0.788461,1
73,7.0169,3.90943,7.0169,70,2600,2800,2800,1.12905e+009,100,7.08252e-013,1,282670,-544492,0,0,0,0.0005,0.01022,0,434.249,0.001,-1.20077e-015,-1.41217e-012,0,0,0.01022,0.0826184,3.49624e-011,0.000151141,0.910202,1
74,7.03222,0.559221,7.03222,70,2600,2800,2800,1.12982e+009,100,5.57688e-013,1,1.0605e+006,598605,0,0,0,0.0005,0.01036,0,434.549,0.001,2.71592e-015,-1.42224e-012,0,0,0.01036,0.0824784,-1.97612e-010,0.000135286,0.808395,1
75,7.0083,3.80046,7.0083,70,2600,2800,2800,1.13061e+009,100,1.83807e-011,1,509061,613106,0,0,0,0.0005,0.0105,0,434.849,0.001,2.05674e-014,-1.4499e-012,0,0,0.0105,0.0823382,1.81002e-010,0.000152165,0.964709,1
76,6.96496,6.40844,6.96496,70,2600,2800,2800,1.13139e+009,100,5.35107e-011,1,-761341,622209,0,0,0,0.0005,0.01064,0,435.149,0.001,1.92541e-014,-1.45709e-012,0,0,0.01064,0.0821983,-7.88461e-010,0.000142428,0.742368,1
77,7.02401,0,7.02401,70,2600,2800,2800,1.13217e+009,100,8.56012e-017,1,-0.0419144,-528.521,0,0,0,0.0005,0.01078,0,435.449,0.001,6.32037e-014,-1.54642e-012,0,0,0.01078,0.0820583,-5.7777e-011,0.0001753,0.727035,1
78,7.00798,0,7.00798,70,2600,2800,2800,1.13295e+009,100,0,1,0.0307394,-528.359,0,0,0,0.0005,0.01092,0,435.748,0.001,-3.14108e-015,-1.49157e-012,0,0,0.01092,0.0819182,-1.12467e-010,0.000173894,0.732534,1
79,6.95741,6.2036,6.95741,70,2600,2800,2800,1.13372e+009,100,1.06061e-011,1,-676883,-456761,0,0,0,0.0005,0.01106,0,436.048,0.001,-2.74518e-015,-1.55325e-012,0,0,0.01106,0.0817784,-6.09941e-010,0.000155558,0.911065,1
80,7.01172,4.31895,7.01172,70,2600,2800,2800,1.1345e+009,100,3.34061e-012,1,-480736,384620,0,0,0,0.0005,0.0112,0,436.347,0.001,-5.16665e-015,-1.58717e-012,0,0,0.0112,0.0816383,-2.52352e-011,0.000166877,0.804853,1
81,6.99946,5.35318,6.99946,70,2600,2800,2800,1.13528e+009,100,6.282e-012,1,613862,-509839,0,0,0,0.0005,0.01134,0,436.646,0.001,-8.62872e-015,-1.57606e-012,0,0,0.01134,0.0814984,-1.57712e-010,0.000149121,0.884349,1
82,7.02172,0.0285728,7.02172,70,2600,2800,2800,1.13606e+009,100,9.17413e-015,1,420478,-783094,0,0,0,0.0005,0.01148,0,436.944,0.001,3.49751e-015,-1.59365e-012,0,0,0.01148,0.0813585,-3.97454e-010,0.000138153,0.854695,1
