Temps	vA	vM	mMpct	msoluteM_pct
1895.3	0.00199512	0.00600488	0.081580368	0.085081803
1895.4	0.00199509	0.00600491	0.082047878	0.08586237
1895.5	0.0019951	0.0060049	0.081814123	0.08586237
1895.6	0.00199511	0.00600489	0.081814123	0.08586237
1895.7	0.00199507	0.00600493	0.082281632	0.08586237
1895.8	0.00199507	0.00600493	0.082281632	0.08586237
1895.9	0.0019951	0.0060049	0.082047878	0.08586237
1896	0.00199508	0.00600492	0.082047878	0.08586237
1896.1	0.00199506	0.00600494	0.082515387	0.086642937
1896.2	0.00199506	0.00600494	0.082515387	0.086642937
1896.3	0.00199507	0.00600493	0.082515387	0.086642937
1896.4	0.00199505	0.00600495	0.082749142	0.086642937
1896.5	0.00199502	0.00600498	0.083216651	0.086642937
1896.6	0.00199504	0.00600496	0.082749142	0.086642937
1896.7	0.00199503	0.00600497	0.083216651	0.086642937
1896.8	0.001995	0.006005	0.083450405	0.087423504
1896.9	0.001995	0.006005	0.08368416	0.087423504
1897	0.00199501	0.00600499	0.083450405	0.087423504
1897.1	0.001995	0.006005	0.083450405	0.087423504
1897.2	0.00199497	0.00600503	0.083917915	0.088204071
1897.3	0.00199499	0.00600501	0.08368416	0.087423504
1897.4	0.001995	0.006005	0.08368416	0.087423504
1897.5	0.00199497	0.00600503	0.084151669	0.088204071
1897.6	0.00199496	0.00600504	0.084151669	0.088204071
1897.7	0.00199496	0.00600504	0.084151669	0.088204071
1897.8	0.00199496	0.00600504	0.084385424	0.088204071
1897.9	0.00199493	0.00600507	0.084852933	0.088984638
1898	0.00199491	0.00600509	0.085086688	0.088984638
